Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,Services\FeatureGate.cs,48,8,M:System.TimeSpan.FromHours(System.Int32),,,,,return Tier == SubscriptionTier.ProPlus ? TimeSpan.MaxValue              : Tier == SubscriptionTier.Premium ? TimeSpan.FromHours(8)              : Tier == SubscriptionTier.Standard ? TimeSpan.FromHours(2)              : TimeSpan.FromMinutes(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,Services\FeatureGate.cs,48,8,M:System.TimeSpan.FromHours(System.Int32),,,,,return Tier == SubscriptionTier.ProPlus ? TimeSpan.MaxValue              : Tier == SubscriptionTier.Premium ? TimeSpan.FromHours(8)              : Tier == SubscriptionTier.Standard ? TimeSpan.FromHours(2)              : TimeSpan.FromMinutes(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,Services\FeatureGate.cs,40,12,M:System.TimeSpan.FromMinutes(System.Int64),,,,,var baseTime = TimeSpan.FromMinutes(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,Services\AdvertisingService.cs,188,16,M:System.TimeSpan.FromMinutes(System.Int64),,,,,_rewardManager.GrantSessionExtension(TimeSpan.FromMinutes(45));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,Services\AudioService.cs,303,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"var delay = TimeSpan.FromMilliseconds(Math.Max(25, duration.TotalMilliseconds / steps));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,618,8,M:System.TimeSpan.FromMinutes(System.Int64),,,,,if (features.Tier == SubscriptionTier.Free              && cap == TimeSpan.FromMinutes(15)              && planned >= TimeSpan.FromMinutes(15))          {              try              {                  await MainThread.InvokeOnMainThreadAsync(async () =>                  {                      var shell = Shell.Current;                      if (shell != null)                      {                          await shell.GoToAsync(nameof(Views.UpgradePage));                      }                  });              }              catch              {                  // ignore navigation failures              }          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,618,8,M:System.TimeSpan.FromMinutes(System.Int64),,,,,if (features.Tier == SubscriptionTier.Free              && cap == TimeSpan.FromMinutes(15)              && planned >= TimeSpan.FromMinutes(15))          {              try              {                  await MainThread.InvokeOnMainThreadAsync(async () =>                  {                      var shell = Shell.Current;                      if (shell != null)                      {                          await shell.GoToAsync(nameof(Views.UpgradePage));                      }                  });              }              catch              {                  // ignore navigation failures              }          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,602,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,var fade = TimeSpan.FromSeconds(UserPreferences.FadeOutSeconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,568,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,var fade = TimeSpan.FromSeconds(UserPreferences.FadeOutSeconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,556,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,var fade = TimeSpan.FromSeconds(UserPreferences.FadeOutSeconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,530,24,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"var transition = IsMixPlaylistTransitionsEnabled                              ? TimeSpan.FromSeconds(Math.Clamp(entry.TransitionSeconds, 0, _features.MaxMixTransitionSeconds))                              : TimeSpan.Zero;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,526,28,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"await Task.Delay(TimeSpan.FromSeconds(runSeconds), _sessionCts?.Token ?? CancellationToken.None);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,523,24,M:System.TimeSpan.FromMinutes(System.Int64),,,,,var runSeconds = entry.DurationSeconds ?? (int)TimeSpan.FromMinutes(3).TotalSeconds;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,359,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,var fade = TimeSpan.FromSeconds(UserPreferences.FadeOutSeconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\PlaybackViewModel.cs,225,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,var fade = TimeSpan.FromSeconds(UserPreferences.FadeOutSeconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\TimerViewModel.cs,116,12,M:System.TimeSpan.FromMinutes(System.Int64),,,,,Duration -= TimeSpan.FromMinutes(5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\TimerViewModel.cs,115,8,M:System.TimeSpan.FromMinutes(System.Int64),,,,,if (Duration > TimeSpan.FromMinutes(5))              Duration -= TimeSpan.FromMinutes(5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\TimerViewModel.cs,110,41,M:System.TimeSpan.FromMinutes(System.Int64),,,,,TimeSpan.FromMinutes(5)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AmbientSleeper.csproj,File,ViewModels\TimerViewModel.Features.cs,52,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,UserPreferences.SetDuration(TimeSpan.FromMinutes(clamped));
